"","user.self","sys.self","elapsed","user.child","sys.child"
"timeLabelSpace",1.821,0,1.827,0,0
"timeBuild",0.451,0.004,36.825,0,0
"timeSplit",0.0659999999999998,0.004,2.19,0,0
"timeAvalia",0.0519999999999996,0,0.673999999999999,0,0
"timeGather",1.589,0,1.588,0,0
